pair,classifier_group,status,blocks
a2c_ppo,1,fallback_no_mode_crossover,8
a2c_ppo,1,selected,112
a2c_ppo,2,selected,120
a2c_ppo,3,fallback_insufficient_crossover_support,41
a2c_ppo,3,fallback_insufficient_informative_days,38
a2c_ppo,3,fallback_no_mode_crossover,22
a2c_ppo,3,selected,19
a2c_ppo,4,selected,120
a2c_ppo,5,fallback_no_mode_crossover,11
a2c_ppo,5,selected,109
a2c_sac,1,fallback_insufficient_crossover_support,5
a2c_sac,1,fallback_no_mode_crossover,32
a2c_sac,1,selected,83
a2c_sac,2,fallback_no_mode_crossover,30
a2c_sac,2,selected,90
a2c_sac,3,fallback_insufficient_crossover_support,79
a2c_sac,3,fallback_insufficient_informative_days,8
a2c_sac,3,fallback_no_mode_crossover,13
a2c_sac,3,selected,20
a2c_sac,4,fallback_no_mode_crossover,33
a2c_sac,4,selected,87
a2c_sac,5,fallback_insufficient_crossover_support,50
a2c_sac,5,fallback_no_mode_crossover,42
a2c_sac,5,selected,28
ppo_sac,1,fallback_insufficient_crossover_support,56
ppo_sac,1,selected,64
ppo_sac,2,fallback_insufficient_crossover_support,30
ppo_sac,2,selected,90
ppo_sac,3,fallback_insufficient_crossover_support,58
ppo_sac,3,fallback_insufficient_informative_days,36
ppo_sac,3,fallback_no_mode_crossover,14
ppo_sac,3,selected,12
ppo_sac,4,fallback_insufficient_crossover_support,30
ppo_sac,4,selected,90
ppo_sac,5,fallback_insufficient_crossover_support,45
ppo_sac,5,selected,75
