market,split,rows,dates,tickers,date_start,date_end,min_assets_per_day,max_assets_per_day,duplicate_date_ticker_keys,null_cells,non_positive_close,overlap_dates_train_valid,overlap_dates_train_test,overlap_dates_valid_test
DJ30,train,58319,2011,29,2012-01-04,2019-12-31,29,29,0,0,0,0,0,0
DJ30,valid,7337,253,29,2020-01-02,2020-12-31,29,29,0,0,0,0,0,0
DJ30,test,7308,252,29,2021-01-04,2021-12-31,29,29,0,0,0,0,0,0
DJ30Warmup2019,train,51011,1759,29,2012-01-04,2018-12-31,29,29,0,0,0,0,0,0
DJ30Warmup2019,valid,7308,252,29,2019-01-02,2019-12-31,29,29,0,0,0,0,0,0
DJ30Warmup2019,test,7337,253,29,2020-01-02,2020-12-31,29,29,0,0,0,0,0,0
SSE50,train,16146,621,26,2016-06-01,2018-12-14,26,26,0,0,0,0,0,0
SSE50,valid,5382,207,26,2018-12-17,2019-10-25,26,26,0,0,0,0,0,0
SSE50,test,5408,208,26,2019-10-28,2020-08-31,26,26,0,0,0,0,0,0
HSTech10,train,6150,615,10,2016-06-01,2018-12-31,10,10,0,0,0,0,0,0
HSTech10,valid,2050,205,10,2019-01-02,2019-10-31,10,10,0,0,0,0,0,0
HSTech10,test,2060,206,10,2019-11-01,2020-08-31,10,10,0,0,0,0,0,0
