window,model,checkpoint,sha256,training_seed,selected_validation_step,retrained_in_backtests
1,a2c,work/core_sse50_candidates/models/agent_a2c_rolling_w1_100000_seed42_best.zip,fc65874a337e4ecb6c056096fd33af1cc5b86cf65efe3264183beacc55b11065,42,20000,False
1,ppo,work/core_sse50_candidates/models/agent_ppo_rolling_w1_100000_seed42_best.zip,35aba109b2aa52b8fb7bd3497ad99a06f997c9552efcc34a4b798066f0b0fcc5,42,100000,False
1,sac,work/core_sse50_candidates/models/agent_sac_rolling_w1_100000_seed42_best.zip,8205778719dec0f9482d9e89e4bf8732daf4d076a3c847b3dc601f29d99f0eae,42,100000,False
2,a2c,work/core_sse50_candidates/models/agent_a2c_rolling_w2_100000_seed42_best.zip,3378b66262fa0aa95103a27be4a5689a42736b167966ed517c31923db32406f6,42,80000,False
2,ppo,work/core_sse50_candidates/models/agent_ppo_rolling_w2_100000_seed42_best.zip,7354dd07c1e749c9797cfbda219d7d97f8768af13a53ff23b77a091f1962602a,42,100000,False
2,sac,work/core_sse50_candidates/models/agent_sac_rolling_w2_100000_seed42_best.zip,0a9e9e98a22b306b7d0bca608b66cf630b49a9e8b4c43252b21028d6a7933e86,42,80000,False
3,a2c,work/core_sse50_candidates/models/agent_a2c_rolling_w3_100000_seed42_best.zip,9875ef4dacefa1e4c5103979ca56d1ff0935678a3f03a22c2772dc9a2b2c0466,42,80000,False
3,ppo,work/core_sse50_candidates/models/agent_ppo_rolling_w3_100000_seed42_best.zip,2e44caa0deaafd5ad3cefdf4e177936b5ee75dcdbbec9df06d6b9890b10d9f75,42,20000,False
3,sac,work/core_sse50_candidates/models/agent_sac_rolling_w3_100000_seed42_best.zip,631c88b5ae5839edde57010e47415fecbb4801f83637f98d7a3394b9335522db,42,100000,False
4,a2c,work/core_sse50_candidates/models/agent_a2c_rolling_w4_100000_seed42_best.zip,2eed8499a1c1a9fbc02e7840831fea43cd95f6d7ba5b6fb99e80013d95199854,42,80000,False
4,ppo,work/core_sse50_candidates/models/agent_ppo_rolling_w4_100000_seed42_best.zip,d4a5b10f4fd07816e703cae68fde5f3c13f329d72a2bc9ef0f91faf5d4f5f83d,42,100000,False
4,sac,work/core_sse50_candidates/models/agent_sac_rolling_w4_100000_seed42_best.zip,c4b6566cca156d8574bb398cf4e2ece532be75812aa9c58ad78661fe8997fb96,42,100000,False
