dataset,family,pair,classifier_group,selected_global_tau,tau_count,tau_beating_stronger,tau_beating_simple_average,tau_beating_stronger_min,tau_beating_stronger_max,tau_within_0.01_sharpe_of_best
SSE50,group1,arima_lstm,1,0.38,89,0,61,,,55
SSE50,group1,arima_lstm,2,0.21,89,0,6,,,1
SSE50,group1,arima_lstm,3,0.17,89,0,0,,,2
SSE50,group1,arima_lstm,4,0.21,89,0,60,,,56
SSE50,group1,arima_lstm,5,0.21,89,0,4,,,2
SSE50,group1,arima_xgboost,1,0.29,89,56,55,0.26,0.89,4
SSE50,group1,arima_xgboost,2,0.28,89,8,8,0.22,0.29,2
SSE50,group1,arima_xgboost,3,0.23,89,2,2,0.22,0.23,1
SSE50,group1,arima_xgboost,4,0.27,89,5,5,0.23,0.28,2
SSE50,group1,arima_xgboost,5,0.27,89,6,6,0.23,0.29,3
SSE50,group1,xgboost_lstm,1,0.18,89,0,19,,,1
SSE50,group1,xgboost_lstm,2,0.18,89,20,23,0.01,0.2,1
SSE50,group1,xgboost_lstm,3,0.2,89,0,0,,,20
SSE50,group1,xgboost_lstm,4,0.18,89,19,21,0.01,0.19,1
SSE50,group1,xgboost_lstm,5,0.18,89,19,22,0.01,0.19,1
SSE50,group2,patchtst_itransformer,1,0.15,89,22,26,0.01,0.22,16
SSE50,group2,patchtst_itransformer,2,0.17,89,22,26,0.01,0.22,1
SSE50,group2,patchtst_itransformer,3,0.01,89,4,25,0.01,0.15,16
SSE50,group2,patchtst_itransformer,4,0.17,89,23,26,0.01,0.23,1
SSE50,group2,patchtst_itransformer,5,0.04,89,22,26,0.01,0.22,17
SSE50,main,ppo_tqc,1,0.26,89,64,66,0.26,0.89,64
SSE50,main,ppo_tqc,2,0.27,89,0,63,,,64
SSE50,main,ppo_tqc,3,0.17,89,0,0,,,3
SSE50,main,ppo_tqc,4,0.27,89,64,67,0.26,0.89,64
SSE50,main,ppo_tqc,5,0.26,89,64,65,0.26,0.89,64
SSE50,stress,td3_tqc,1,0.39,89,1,1,0.39,0.39,1
SSE50,stress,td3_tqc,2,0.39,89,1,1,0.39,0.39,1
SSE50,stress,td3_tqc,3,0.39,89,0,0,,,1
SSE50,stress,td3_tqc,4,0.39,89,1,1,0.39,0.39,1
SSE50,stress,td3_tqc,5,0.39,89,1,1,0.39,0.39,1
HSTech10,group1,arima_lstm,1,0.3,89,0,5,,,5
HSTech10,group1,arima_lstm,2,0.29,89,32,32,0.01,0.32,5
HSTech10,group1,arima_lstm,3,0.36,89,0,0,,,4
HSTech10,group1,arima_lstm,4,0.3,89,12,32,0.2,0.31,1
HSTech10,group1,arima_lstm,5,0.31,89,0,5,,,2
HSTech10,group1,arima_xgboost,1,0.43,89,0,0,,,16
HSTech10,group1,arima_xgboost,2,0.19,89,22,22,0.01,0.22,22
HSTech10,group1,arima_xgboost,3,0.3,89,0,0,,,1
HSTech10,group1,arima_xgboost,4,0.3,89,0,0,,,2
HSTech10,group1,arima_xgboost,5,0.29,89,0,0,,,3
HSTech10,group1,xgboost_lstm,1,0.52,89,55,56,0.35,0.89,3
HSTech10,group1,xgboost_lstm,2,0.33,89,42,53,0.32,0.89,1
HSTech10,group1,xgboost_lstm,3,0.3,89,0,0,,,74
HSTech10,group1,xgboost_lstm,4,0.33,89,48,57,0.33,0.89,4
HSTech10,group1,xgboost_lstm,5,0.55,89,35,54,0.55,0.89,37
HSTech10,group2,patchtst_itransformer,1,0.66,89,0,26,,,24
HSTech10,group2,patchtst_itransformer,2,0.66,89,0,26,,,24
HSTech10,group2,patchtst_itransformer,3,0.66,89,0,0,,,24
HSTech10,group2,patchtst_itransformer,4,0.66,89,0,26,,,24
HSTech10,group2,patchtst_itransformer,5,0.66,89,0,26,,,24
HSTech10,main,ppo_tqc,1,0.46,89,3,45,0.45,0.47,1
HSTech10,main,ppo_tqc,2,0.46,89,8,48,0.42,0.49,1
HSTech10,main,ppo_tqc,3,0.01,89,0,0,,,38
HSTech10,main,ppo_tqc,4,0.46,89,3,48,0.45,0.47,1
HSTech10,main,ppo_tqc,5,0.46,89,5,48,0.44,0.48,1
HSTech10,stress,td3_tqc,1,0.7,89,0,20,,,20
HSTech10,stress,td3_tqc,2,0.7,89,0,20,,,20
HSTech10,stress,td3_tqc,3,0.41,89,1,89,0.41,0.41,50
HSTech10,stress,td3_tqc,4,0.7,89,0,20,,,20
HSTech10,stress,td3_tqc,5,0.7,89,0,20,,,20
